Périmètre;Nature;Date;Heure;Date et Heure;Consommation (MW);Prévision J-1 (MW);Prévision J (MW);Fioul (MW);Charbon (MW);Gaz (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Taux de CO2 (g/kWh);Ech. comm. Angleterre (MW);Ech. comm. Espagne (MW);Ech. comm. Italie (MW);Ech. comm. Suisse (MW);Ech. comm. Allemagne-Belgique (MW);Fioul - TAC (MW);Fioul - Cogénération (MW);Fioul - Autres (MW);Gaz - TAC (MW);Gaz - Cogénération (MW);Gaz - CCG (MW);Gaz - Autres (MW);Hydraulique - Fil de l'eau + éclusée (MW);Hydraulique - Lacs (MW);Hydraulique - STEP turbinage (MW);Bioénergies - Déchets (MW);Bioénergies - Biomasse (MW);Bioénergies - Biogaz (MW)
France;Données consolidées;2019-07-12;17:45;2019-07-12T17:45:00+02:00;;50650;50450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-12;18:00;2019-07-12T18:00:00+02:00;50747;50800;50600;466;18;4214;40478;5325;3725;5621;-88;1028;-10040;47;-2000;-1500;-2477;-687;-1586;16;72;370;-1;419;3769;26;3699;1367;555;494;250;284
France;Données consolidées;2019-07-12;19:30;2019-07-12T19:30:00+02:00;50376;50100;50000;457;19;3733;41179;4674;1661;6556;-31;1028;-8900;45;-2000;-1500;-2477;-176;-2236;16;73;356;0;421;3286;26;4050;1694;812;486;259;283
France;Données consolidées;2019-07-12;21:30;2019-07-12T21:30:00+02:00;46124;46000;46000;476;19;3933;41405;3181;36;6175;-360;1039;-9779;50;-2000;-1500;-2477;-1487;-1942;16;73;378;0;423;3481;29;4074;1702;398;498;255;286
France;Données consolidées;2019-07-12;22:30;2019-07-12T22:30:00+02:00;47810;47900;48000;478;19;3938;41247;2968;2;6031;-33;1037;-7876;50;-2000;-1500;-2477;-541;72;17;72;381;-1;426;3484;28;3984;1644;403;501;253;284
France;Données consolidées;2019-07-13;00:30;2019-07-13T00:30:00+02:00;45249;44600;44600;340;19;3431;40559;2473;1;6590;-52;1056;-9168;46;-1704;-1200;-2767;-955;-2422;17;73;244;-1;406;2996;29;4024;1714;852;516;260;280
France;Données consolidées;2019-07-13;01:15;2019-07-13T01:15:00+02:00;;42050;42350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-13;02:00;2019-07-13T02:00:00+02:00;40824;41600;41900;122;17;2340;40100;2099;1;5011;-485;1065;-9445;39;-1406;-1200;-2767;-2214;-1960;17;73;28;0;409;1898;33;3634;1053;324;525;258;281
France;Données consolidées;2019-07-13;03:00;2019-07-13T03:00:00+02:00;38329;37800;38100;123;19;2186;39430;1942;0;4395;-813;1079;-10031;40;-1406;-1200;-2767;-2347;-2578;17;74;28;-1;408;1746;32;3501;894;0;538;261;280
France;Données consolidées;2019-07-13;03:15;2019-07-13T03:15:00+02:00;;37250;37750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-13;03:30;2019-07-13T03:30:00+02:00;37551;36700;37400;123;19;2197;39833;1948;0;4252;-1310;1072;-10583;40;-1406;-1200;-2767;-2347;-2598;17;74;28;0;405;1763;30;3482;771;0;536;258;279
France;Données consolidées;2019-07-13;05:00;2019-07-13T05:00:00+02:00;36050;35900;36000;124;19;1950;39559;1864;0;4115;-1747;1079;-10913;39;-1406;-1200;-2767;-2347;-3245;17;75;28;0;401;1530;20;3373;743;-1;534;265;280
France;Données consolidées;2019-07-13;05:15;2019-07-13T05:15:00+02:00;;35950;36350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-13;11:15;2019-07-13T11:15:00+02:00;;45550;46300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-13;13:15;2019-07-13T13:15:00+02:00;;47400;48150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-13;14:00;2019-07-13T14:00:00+02:00;46579;45700;46300;125;20;2049;39595;1532;6358;5191;-255;1064;-9100;34;-2000;-1250;-2221;-1494;-2499;16;75;29;0;402;1619;28;3682;1048;462;515;264;285
France;Données consolidées;2019-07-13;14:45;2019-07-13T14:45:00+02:00;;45350;45850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-13;15:15;2019-07-13T15:15:00+02:00;;44650;45100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-13;15:45;2019-07-13T15:45:00+02:00;;44250;44600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-13;17:30;2019-07-13T17:30:00+02:00;43763;43300;43300;125;20;1821;39898;2795;4577;4929;-989;1081;-10496;33;-2000;-1250;-2427;-1944;-2866;16;74;28;0;403;1389;29;3479;1075;374;533;265;283
France;Données consolidées;2019-07-13;17:45;2019-07-13T17:45:00+02:00;;43500;43500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-13;19:30;2019-07-13T19:30:00+02:00;44603;43800;43700;124;20;1914;40495;3157;1736;5846;-510;1088;-9267;34;-2000;-1250;-2427;-2069;-1971;16;74;28;0;405;1479;31;3796;1256;794;541;263;284
France;Données consolidées;2019-07-13;19:45;2019-07-13T19:45:00+02:00;;43500;43400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-13;20:45;2019-07-13T20:45:00+02:00;;41800;41800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-13;22:15;2019-07-13T22:15:00+02:00;;42750;42900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-14;00:15;2019-07-14T00:15:00+02:00;;43500;42650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-14;01:15;2019-07-14T01:15:00+02:00;;40050;39350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-14;01:30;2019-07-14T01:30:00+02:00;38972;39900;39500;125;19;1138;38784;3231;0;5001;-476;1114;-9965;33;-1604;-1200;-2767;-1918;-2434;17;74;28;0;396;715;28;3727;821;453;562;268;285
France;Données consolidées;2019-07-14;03:00;2019-07-14T03:00:00+02:00;35878;36200;35500;123;18;913;37942;2813;0;5150;-815;1111;-11375;32;-1407;-1200;-2767;-2331;-4454;15;74;28;0;389;494;30;3457;869;824;562;266;283
France;Données consolidées;2019-07-14;04:30;2019-07-14T04:30:00+02:00;33900;34200;33800;122;20;982;38576;2687;0;3740;-976;1113;-12363;33;-1407;-1000;-2767;-2347;-4958;15;74;28;-1;395;557;30;3034;428;279;565;265;284
France;Données consolidées;2019-07-14;05:15;2019-07-14T05:15:00+02:00;;33850;33450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-14;06:15;2019-07-14T06:15:00+02:00;;33050;32850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-14;07:45;2019-07-14T07:45:00+02:00;;34300;34350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-14;11:15;2019-07-14T11:15:00+02:00;;42000;41900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-14;14:15;2019-07-14T14:15:00+02:00;;42050;42200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-14;14:45;2019-07-14T14:45:00+02:00;;41500;41650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-14;15:45;2019-07-14T15:45:00+02:00;;40050;40250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-14;17:00;2019-07-14T17:00:00+02:00;39811;39200;39500;127;20;929;39156;5541;4836;3479;-1232;1071;-14116;27;-2000;-1200;-2427;-2347;-5484;16;73;28;0;349;549;32;3018;458;2;533;254;284
France;Données consolidées;2019-07-14;18:30;2019-07-14T18:30:00+02:00;41001;40400;40400;131;19;1326;39420;5719;3113;4080;-1138;1069;-12738;30;-2000;-1249;-2771;-2261;-4100;16;74;28;-1;366;930;30;3131;949;0;532;254;284
France;Données consolidées;2019-07-14;23:00;2019-07-14T23:00:00+02:00;45051;46700;45900;130;19;2108;39409;4577;0;7353;-55;1081;-9571;35;-2000;-1200;-2767;-968;-2127;17;75;29;0;399;1679;30;3882;1603;1869;542;257;282
France;Données consolidées;2019-07-14;23:30;2019-07-14T23:30:00+02:00;44198;45800;45000;127;18;2084;39330;4678;0;6628;-42;1088;-9713;35;-2000;-1200;-2767;-968;-1627;16;75;28;0;398;1656;31;3750;1342;1536;544;260;283
France;Données consolidées;2019-07-15;01:00;2019-07-15T01:00:00+02:00;39136;38800;38900;129;18;1378;38892;4637;0;4664;-464;1083;-11201;33;-1703;-1200;-2767;-2147;-3796;16;75;28;-1;381;966;32;3616;871;177;543;259;281
France;Données consolidées;2019-07-15;02:00;2019-07-15T02:00:00+02:00;37841;38400;38500;127;18;1368;38860;4359;0;4240;-476;1088;-11742;33;-1703;-1050;-2767;-2346;-4115;15;75;28;0;369;966;33;3387;854;0;552;255;281
France;Données consolidées;2019-07-15;04:00;2019-07-15T04:00:00+02:00;34698;35200;34800;127;18;1299;38777;3588;-1;3555;-1606;1091;-12149;35;-1703;-1000;-2767;-2347;-4327;15;75;28;0;364;904;31;3097;458;0;552;260;279
France;Données consolidées;2019-07-15;04:30;2019-07-15T04:30:00+02:00;34953;35500;35300;127;13;1244;38999;3414;0;3409;-1592;1087;-11749;34;-1703;-1000;-2767;-2347;-4327;15;75;28;0;367;847;30;3057;353;0;553;256;278
France;Données consolidées;2019-07-15;10:30;2019-07-15T10:30:00+02:00;50949;53600;50500;503;9;3873;40892;2392;4585;7283;-29;1026;-9586;46;-2000;-1250;-2603;773;-3932;17;74;403;0;400;3445;29;4054;1866;1363;508;243;275
France;Données consolidées;2019-07-15;11:00;2019-07-15T11:00:00+02:00;51550;54000;51600;503;10;3783;40886;2505;5150;7138;-30;1040;-9436;45;-2000;-1250;-2603;-35;-2396;17;75;403;0;401;3355;27;4092;1866;1181;513;254;273
France;Données consolidées;2019-07-15;13:15;2019-07-15T13:15:00+02:00;;54300;53250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-15;16:15;2019-07-15T16:15:00+02:00;;51300;50250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-15;17:00;2019-07-15T17:00:00+02:00;49660;50300;49400;485;202;3547;40429;2818;5162;4424;-249;1043;-8200;49;-2000;-1250;-2987;-441;-1373;16;74;388;0;392;3136;19;3279;798;347;504;256;283
France;Données consolidées;2019-07-15;18:00;2019-07-15T18:00:00+02:00;49045;49700;48900;484;260;3648;40390;2928;4083;4963;-237;1037;-8513;51;-2000;-1250;-2825;-523;-651;16;74;387;-1;394;3235;19;3385;1002;576;496;258;283
France;Données consolidées;2019-07-15;19:00;2019-07-15T19:00:00+02:00;50040;50700;49800;497;371;3730;40758;2783;2613;6213;-29;1026;-7922;53;-2000;-1250;-2688;-516;-775;16;74;400;-1;399;3305;26;3512;1517;1184;495;247;284
France;Données consolidées;2019-07-15;23:00;2019-07-15T23:00:00+02:00;49701;50600;49400;457;353;3667;40528;2813;2;6638;-114;1048;-5691;54;-2000;-1200;-2767;-818;378;17;74;356;-1;405;3238;24;3739;1704;1195;522;245;282
France;Données consolidées;2019-07-16;02:30;2019-07-16T02:30:00+02:00;40418;39700;40200;504;387;3039;40798;2144;2;4718;-1039;1072;-11205;56;-1704;-1200;-2767;-2224;-3504;15;74;408;-1;403;2607;29;3498;1091;129;549;240;283
France;Données consolidées;2019-07-16;07:00;2019-07-16T07:00:00+02:00;43006;42300;43500;489;356;3360;40933;1019;148;4197;-30;1068;-8534;57;-1803;-1250;-2512;-635;-269;17;73;395;0;402;2932;27;3177;926;94;543;246;279
France;Données consolidées;2019-07-16;09:00;2019-07-16T09:00:00+02:00;49702;49000;50000;477;509;3117;40918;313;2540;5745;-84;1051;-4881;55;-2000;-1250;-2987;724;965;17;72;384;0;389;2700;28;3530;1735;480;538;241;272
France;Données consolidées;2019-07-16;09:30;2019-07-16T09:30:00+02:00;50813;50100;51100;480;579;3193;40927;255;3230;5788;-84;1033;-4587;55;-2000;-1250;-2987;724;1196;17;72;387;-1;389;2775;30;3444;1899;444;523;239;271
France;Données consolidées;2019-07-16;10:15;2019-07-16T10:15:00+02:00;;51400;52100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-16;12:00;2019-07-16T12:00:00+02:00;54149;54000;54700;472;575;3546;40704;234;6101;5747;-52;1011;-4190;54;-2000;-1250;-2895;1086;1422;17;73;378;-1;388;3132;26;3542;1626;579;509;230;272
France;Données consolidées;2019-07-16;12:30;2019-07-16T12:30:00+02:00;54193;53200;54200;469;576;3570;40687;219;6438;5122;-34;1014;-3865;55;-2000;-1250;-2895;1086;1944;16;73;375;-1;390;3153;27;3362;1416;344;509;234;271
France;Données consolidées;2019-07-16;12:45;2019-07-16T12:45:00+02:00;;53850;54900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-16;13:30;2019-07-16T13:30:00+02:00;53850;53000;53900;482;579;3761;40487;210;6691;4805;-198;1024;-3990;56;-2000;-1250;-2987;918;1808;16;74;389;-1;389;3347;27;3284;1188;332;517;236;271
France;Données consolidées;2019-07-16;15:15;2019-07-16T15:15:00+02:00;;52550;53450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-16;15:30;2019-07-16T15:30:00+02:00;52558;52400;53300;495;594;4172;40645;259;6230;4859;-933;1016;-4780;60;-2000;-1250;-2987;437;674;16;74;401;-1;384;3760;29;3271;1179;410;503;241;272
France;Données consolidées;2019-07-16;15:45;2019-07-16T15:45:00+02:00;;52100;53000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-16;17:30;2019-07-16T17:30:00+02:00;50575;49900;50800;478;580;4201;40403;432;4698;4967;-236;1020;-5969;60;-2000;-1250;-2876;-371;-175;15;74;384;-1;385;3789;28;3564;1096;308;506;229;284
France;Données consolidées;2019-07-16;18:45;2019-07-16T18:45:00+02:00;;51150;51700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-16;20:30;2019-07-16T20:30:00+02:00;48548;47700;48900;491;571;4925;40837;664;488;7799;-90;1040;-8177;65;-2000;-1250;-2322;3;-2444;17;74;396;0;388;4487;50;4029;2193;1577;519;234;287
France;Données consolidées;2019-07-16;21:15;2019-07-16T21:15:00+02:00;;45800;47400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-17;00:00;2019-07-17T00:00:00+02:00;48047;47300;47600;481;569;4780;38715;1341;0;6403;-29;1071;-5284;69;-1902;-1200;-2767;-865;-259;17;73;385;0;403;4312;66;3722;1554;1127;538;251;281
France;Données consolidées;2019-07-17;00:30;2019-07-17T00:30:00+02:00;45451;44400;44800;495;441;4785;39297;1322;0;5463;-363;1064;-7052;68;-1902;-1200;-2767;-865;-109;17;73;398;0;403;4323;58;3653;1250;560;528;251;284
France;Données consolidées;2019-07-17;00:45;2019-07-17T00:45:00+02:00;;43250;43650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-17;02:15;2019-07-17T02:15:00+02:00;;41000;41400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-17;02:30;2019-07-17T02:30:00+02:00;40575;40300;40600;497;6;4567;39375;1040;0;4265;-1032;1078;-9221;62;-1704;-1200;-2767;-2252;-1534;15;73;402;0;407;4108;52;3190;758;317;548;249;281
France;Données consolidées;2019-07-17;03:15;2019-07-17T03:15:00+02:00;;38800;38900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-17;03:30;2019-07-17T03:30:00+02:00;38561;38400;38500;491;12;4499;39235;807;0;3826;-1032;1080;-10356;62;-1457;-1200;-2767;-2307;-2704;16;74;396;0;409;4039;52;3184;535;107;543;257;280
France;Données consolidées;2019-07-17;04:00;2019-07-17T04:00:00+02:00;38021;38000;38300;489;13;4356;39228;727;0;3776;-1265;1087;-10390;62;-1408;-1200;-2767;-2347;-2968;16;73;394;-1;411;3887;59;3176;503;97;546;260;282
France;Données consolidées;2019-07-17;04:45;2019-07-17T04:45:00+02:00;;38200;38200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-17;06:15;2019-07-17T06:15:00+02:00;;41050;41300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-17;06:45;2019-07-17T06:45:00+02:00;;42900;42850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-17;07:00;2019-07-17T07:00:00+02:00;43114;43900;43600;484;229;4914;39711;466;159;4601;-236;1066;-8280;66;-1902;-905;-1206;-652;-2613;18;73;389;-1;414;4437;64;3042;1279;280;544;240;282
France;Données consolidées;2019-07-17;09:30;2019-07-17T09:30:00+02:00;51271;52400;51500;469;351;4686;41299;217;3118;6352;-83;1032;-6171;59;-1000;-1250;-1023;-244;-2518;18;72;376;-1;407;4213;67;3719;1626;1007;532;234;267
France;Données consolidées;2019-07-17;10:30;2019-07-17T10:30:00+02:00;52628;53600;52700;478;351;4804;41242;193;4496;6711;-83;1020;-6583;58;-1000;-1250;-867;-476;-2728;17;72;386;-1;402;4346;57;3584;1801;1327;523;227;270
France;Données consolidées;2019-07-17;11:15;2019-07-17T11:15:00+02:00;;54400;54000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-17;11:30;2019-07-17T11:30:00+02:00;54060;54700;54200;495;326;4953;41151;213;5430;5970;-27;1023;-5473;58;-1000;-1250;-935;-682;-1199;16;70;404;0;399;4496;58;3286;1631;1054;516;236;271
France;Données consolidées;2019-07-17;14:15;2019-07-17T14:15:00+02:00;;55000;54500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-17;14:30;2019-07-17T14:30:00+02:00;54463;55000;54500;464;376;4527;40826;700;6303;5173;-28;1023;-4903;56;-900;-1250;-2447;-723;790;16;71;371;0;382;4086;59;3259;1145;769;501;241;282
France;Données consolidées;2019-07-17;15:00;2019-07-17T15:00:00+02:00;53636;54100;53600;455;350;4364;40740;796;6119;4742;-28;1021;-4922;55;-900;-1250;-2528;-570;475;16;71;362;-1;380;3924;60;3228;993;521;497;241;283
France;Données consolidées;2019-07-17;18:15;2019-07-17T18:15:00+02:00;;51650;51400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-17;18:45;2019-07-17T18:45:00+02:00;;52000;51800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-17;20:45;2019-07-17T20:45:00+02:00;;48250;48200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-17;22:00;2019-07-17T22:00:00+02:00;47137;47300;47300;496;406;4931;40887;1662;0;6555;-67;1079;-8811;64;-1000;-1210;-2107;110;-2945;17;74;401;-1;397;4466;68;3730;2231;594;545;244;290
France;Données consolidées;2019-07-17;22:15;2019-07-17T22:15:00+02:00;;47950;48000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-17;23:45;2019-07-17T23:45:00+02:00;;48800;48900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-18;01:30;2019-07-18T01:30:00+02:00;42230;43100;42900;478;311;4833;40557;2046;0;4348;-1107;1103;-10338;66;-605;-1200;-2767;-1601;-3031;17;74;383;-1;386;4385;62;3120;1142;86;555;263;285
France;Données consolidées;2019-07-18;04:15;2019-07-18T04:15:00+02:00;;38350;38200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-18;04:45;2019-07-18T04:45:00+02:00;;38500;38450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-18;06:00;2019-07-18T06:00:00+02:00;40424;40400;40600;478;310;4744;40587;2098;0;3230;-1654;1103;-10473;68;-705;-1200;-2767;-2304;-2680;17;74;380;0;388;4298;60;2737;491;3;570;257;276
France;Données consolidées;2019-07-18;07:30;2019-07-18T07:30:00+02:00;45431;45700;45500;477;310;5053;40762;1898;406;4750;-30;1107;-9303;65;-1000;-1250;-2666;-1575;-2589;16;74;378;0;404;4593;56;3235;1334;181;571;258;278
France;Données consolidées;2019-07-18;08:15;2019-07-18T08:15:00+02:00;;48500;48150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-18;08:30;2019-07-18T08:30:00+02:00;48917;49300;48900;498;310;5208;41089;1389;1362;6431;-28;1085;-8427;63;-1000;-1250;-2666;-189;-2802;16;74;400;0;395;4752;61;3687;1828;917;557;253;276
France;Données consolidées;2019-07-18;10:15;2019-07-18T10:15:00+02:00;;53150;52200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-18;11:00;2019-07-18T11:00:00+02:00;53066;54000;52700;463;366;4834;40612;1825;4148;5778;-83;1052;-5931;59;-1000;-1250;-2666;-497;-76;16;72;370;0;397;4383;55;3727;1603;448;529;243;280
France;Données consolidées;2019-07-18;12:30;2019-07-18T12:30:00+02:00;54518;55000;53800;484;366;5002;40775;2291;5083;5132;-28;1082;-5667;59;-1000;-1250;-2666;-1134;945;17;72;390;-1;398;4545;59;3422;1223;487;540;264;279
France;Données consolidées;2019-07-18;13:15;2019-07-18T13:15:00+02:00;;55400;54200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-18;15:00;2019-07-18T15:00:00+02:00;53426;54000;52500;480;371;4510;40532;3415;5398;4626;-458;1069;-6516;56;-1000;-1250;-2666;-729;-577;17;72;386;-1;395;4066;49;3408;921;297;520;266;283
France;Données consolidées;2019-07-18;15:30;2019-07-18T15:30:00+02:00;53058;53600;52100;470;358;4431;40377;3513;5348;4495;-248;1066;-6753;56;-1000;-1250;-2666;-729;-1066;17;72;377;-1;398;3990;44;3401;881;213;519;261;286
France;Données consolidées;2019-07-18;16:15;2019-07-18T16:15:00+02:00;;52650;51850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-18;17:00;2019-07-18T17:00:00+02:00;51337;51600;51100;473;506;4852;40392;3595;4412;4730;-248;1070;-8446;61;-1000;-1250;-2666;-1975;-1823;17;72;379;-1;406;4394;52;3385;1121;224;529;255;286
France;Données consolidées;2019-07-18;17:30;2019-07-18T17:30:00+02:00;50911;50900;50600;476;517;4854;40607;3697;3940;5193;-30;1087;-9430;61;-1000;-1250;-2666;-1961;-2495;17;72;382;-1;401;4403;51;3497;1264;432;540;256;290
France;Données consolidées;2019-07-18;18:30;2019-07-18T18:30:00+02:00;50973;51400;51000;480;530;4874;40757;3257;2787;6428;-30;1090;-9201;61;-1000;-1250;-2666;-1336;-2769;17;73;385;-1;393;4435;47;3880;1735;813;542;256;292
France;Données consolidées;2019-07-18;18:45;2019-07-18T18:45:00+02:00;;51650;51250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-18;20:15;2019-07-18T20:15:00+02:00;;49500;49100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-18;22:00;2019-07-18T22:00:00+02:00;47113;47200;46900;479;487;5045;40684;2093;0;6103;-72;1109;-8814;67;-1000;-1250;-2152;718;-3272;17;72;386;-1;403;4582;60;3742;1575;786;553;263;294
France;Données consolidées;2019-07-18;22:45;2019-07-18T22:45:00+02:00;;50000;49700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-19;00:00;2019-07-19T00:00:00+02:00;48327;47600;48100;451;374;4716;39881;1910;0;6927;-29;1083;-6985;62;-902;-1200;-2767;-1443;-2514;17;73;357;-1;405;4251;61;3637;2045;1245;537;257;289
France;Données consolidées;2019-07-19;00:30;2019-07-19T00:30:00+02:00;45844;44900;45000;394;374;4897;40293;1933;0;5873;-30;1090;-8979;63;-902;-1200;-2767;-1443;-2564;17;72;301;-1;404;4439;55;3505;1843;524;540;258;291
France;Données consolidées;2019-07-19;01:30;2019-07-19T01:30:00+02:00;42136;42500;43000;474;314;4698;40160;1837;0;4383;-523;1127;-10336;66;-778;-1200;-2767;-2341;-2866;17;72;379;-1;408;4238;53;3248;992;143;573;264;291
France;Données consolidées;2019-07-19;03:15;2019-07-19T03:15:00+02:00;;38750;39200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-19;04:00;2019-07-19T04:00:00+02:00;38323;38100;38400;330;18;4377;40058;1406;0;3471;-1694;1136;-10778;60;-778;-1200;-2767;-2341;-3403;17;73;236;-1;407;3902;69;3013;458;0;583;262;291
France;Données consolidées;2019-07-19;04:30;2019-07-19T04:30:00+02:00;38345;38200;38100;327;17;4610;40002;1387;0;3393;-1903;1137;-10624;62;-778;-1200;-2767;-2341;-3403;17;72;234;0;407;4134;69;3021;371;0;582;265;291
France;Données consolidées;2019-07-19;05:00;2019-07-19T05:00:00+02:00;38488;38700;38700;342;18;4725;40207;1318;0;3463;-1903;1140;-10822;63;-778;-1200;-2767;-2341;-2356;17;72;249;-1;409;4248;70;3054;409;0;583;265;292
France;Données consolidées;2019-07-19;08:00;2019-07-19T08:00:00+02:00;47344;47300;47800;487;17;5199;40922;992;807;6116;-20;1114;-8291;60;-1000;-1250;-2681;229;-2757;18;73;392;0;411;4723;66;3554;1702;860;567;261;286
France;Données consolidées;2019-07-19;09:15;2019-07-19T09:15:00+02:00;;50700;51000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-19;10:00;2019-07-19T10:00:00+02:00;52223;51900;52400;471;17;4945;41046;975;3577;7621;-74;1118;-7472;54;-1000;-1250;-2681;761;-2669;23;66;378;0;407;4470;67;4006;2031;1584;559;274;285
France;Données consolidées;2019-07-19;12:00;2019-07-19T12:00:00+02:00;54431;54100;54600;465;19;4936;40682;1495;5392;6068;-19;1106;-5712;54;-1000;-1250;-2681;-1051;880;18;66;376;0;403;4469;64;3823;1752;492;538;285;283
France;Données consolidées;2019-07-19;13:15;2019-07-19T13:15:00+02:00;;54150;54200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-19;13:45;2019-07-19T13:45:00+02:00;;52950;53350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-19;14:15;2019-07-19T14:15:00+02:00;;52850;53650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-19;15:00;2019-07-19T15:00:00+02:00;52809;52000;52500;552;20;4885;39447;1778;6225;4865;-19;1110;-6054;56;-1000;-1250;-2681;-728;-178;94;73;378;-1;395;4429;62;3587;906;372;539;282;289
France;Données consolidées;2019-07-19;16:45;2019-07-19T16:45:00+02:00;;50300;50450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2019-07-19;18:00;2019-07-19T18:00:00+02:00;50295;49900;50300;473;18;4885;39631;1231;3878;6438;-19;1114;-7353;56;-1079;-1250;-2631;403;-1819;18;74;377;-1;393;4430;62;3624;1732;1082;539;281;294
France;Données consolidées;2019-07-19;18:45;2019-07-19T18:45:00+02:00;;50200;50300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
